PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
T_GEWINN,k7/2n5/8/8/8/3R4/8/7K b - - 0 1,c7d5 d3d5,700,70,95,5000,hangingPiece fork pin skewer oneMove,https://lichess.org/test,
T_GABEL,k7/4r3/8/1N6/8/8/8/7K b - - 0 1,e7e8 b5c7,700,70,95,5000,hangingPiece fork pin skewer oneMove,https://lichess.org/test,
T_FESSEL,4k3/8/8/8/5n2/8/8/R6K b - - 0 1,f4e6 a1e1,700,70,95,5000,hangingPiece fork pin skewer oneMove,https://lichess.org/test,
T_SPIESS,q7/8/8/8/k7/8/7K/7R b - - 0 1,a4a5 h1a1,700,70,95,5000,hangingPiece fork pin skewer oneMove,https://lichess.org/test,
T_VERT_WEG,7k/8/8/8/1b6/8/5R2/7K b - - 0 1,b4c5 f2a2,700,70,95,5000,hangingPiece fork pin skewer oneMove,https://lichess.org/test,
T_VERT_DECK,6k1/3r4/8/8/3B4/8/8/R6K b - - 0 1,d7d8 a1d1,700,70,95,5000,hangingPiece fork pin skewer oneMove,https://lichess.org/test,
T_VERT_SCHLAG,k7/8/8/2b5/3R4/8/8/1R5K b - - 0 1,c5b6 b1b6,700,70,95,5000,hangingPiece fork pin skewer oneMove,https://lichess.org/test,
T_ERKENNEN,7k/8/4p2p/3n2b1/6r1/8/8/6RK b - - 0 1,g4a4 g1g2,700,70,95,5000,hangingPiece fork pin skewer oneMove,https://lichess.org/test,
T_HOHES_RATING,k7/2n5/8/8/8/3R4/8/7K b - - 0 1,c7d5 d3d5,1850,70,95,5000,hangingPiece fork pin skewer oneMove,https://lichess.org/test,
T_MEHRDEUTIG,8/7k/2n5/8/b2R4/8/8/7K b - - 0 1,c6d8 d4d8,700,70,95,5000,hangingPiece fork pin skewer oneMove,https://lichess.org/test,
T_NEIN_TAUSCH,k7/2nr4/8/8/8/3R4/8/7K b - - 0 1,c7d5 d3d5,700,70,95,5000,hangingPiece fork pin skewer oneMove,https://lichess.org/test,
T_NEIN_ZULANG,k7/2n5/8/8/8/3R4/8/7K b - - 0 1,c7d5 d3d5 a8b8 d5d8 b8b7 d8d7 b7b6,700,70,95,5000,hangingPiece fork pin skewer oneMove,https://lichess.org/test,
T_GESPIEGELT,7k/3r4/8/8/8/8/2N5/K7 w - - 0 1,c2d4 d7d4,700,70,95,5000,hangingPiece fork pin skewer oneMove,https://lichess.org/test,
T_VERT_BESTER,k7/8/8/2b5/3R4/8/8/1R5K b - - 0 1,c5b6 b1b6,700,70,95,5000,hangingPiece fork pin skewer oneMove,https://lichess.org/test,
T_GABEL_MIT_FORTSETZUNG,k7/4r3/8/1N6/8/8/8/7K b - - 0 1,e7e8 b5c7 a8b7 c7e8,1400,70,95,5000,hangingPiece fork pin skewer oneMove,https://lichess.org/test,
